,GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,Population_Total,Population_by_Race_White,Population_by_Race_Nonwhite,Negro_Population_Total,Occupied_Dwelling_Units_Total,Total_Occupied_Dwelling_Units_Total,Total_Dwelling_Units_Total,Occupied_Dwelling_Units_by_Tenure_Owneroccupied,Occupied_Dwelling_Units_by_Tenure_Tenantoccupied,Occupied_Dwelling_Units_by_Tenure_by_Race_Owneroccupied>>White,Occupied_Dwelling_Units_by_Tenure_by_Race_Owneroccupied>>Negro,Occupied_Dwelling_Units_by_Tenure_by_Race_Owneroccupied>>Othernon-white,Occupied_Dwelling_Units_by_Tenure_by_Race_Tenantoccupied>>White,Occupied_Dwelling_Units_by_Tenure_by_Race_Tenantoccupied>>Negro,Occupied_Dwelling_Units_by_Tenure_by_Race_Tenantoccupied>>Othernon-white,Vacant_Dwelling_Units_by_Market_Status_Forsaleorrent,Vacant_Dwelling_Units_by_Market_Status_Notforsaleorrent,Dwelling_Units_by_Type_of_Structure_One-familydetached,Dwelling_Units_by_Type_of_Structure_One-familyattached,Dwelling_Units_by_Type_of_Structure_Two-familysidebyside,Dwelling_Units_by_Type_of_Structure_Twofamilyother,Dwelling_Units_by_Type_of_Structure_Three-family,Dwelling_Units_by_Type_of_Structure_Four-family,Dwelling_Units_by_Type_of_Structure_One--four-familywithbusiness,Dwelling_Units_by_Type_of_Structure_Five--nine-family,Dwelling_Units_by_Type_of_Structure_Ten--nineteen-family,Dwelling_Units_by_Type_of_Structure_Twenty--family+,Dwelling_Units_by_Type_of_Structure_Other,Occupied_Dwelling_Units_by_Number_of_Occupants_1-person,Occupied_Dwelling_Units_by_Number_of_Occupants_2-persons,Occupied_Dwelling_Units_by_Number_of_Occupants_3-persons,Occupied_Dwelling_Units_by_Number_of_Occupants_4-persons,Occupied_Dwelling_Units_by_Number_of_Occupants_5-persons,Occupied_Dwelling_Units_by_Number_of_Occupants_6-persons,Occupied_Dwelling_Units_by_Number_of_Occupants_7-persons,Occupied_Dwelling_Units_by_Number_of_Occupants_8-persons,Occupied_Dwelling_Units_by_Number_of_Occupants_9-persons,Occupied_Dwelling_Units_by_Number_of_Occupants_10-persons,Occupied_Dwelling_Units_by_Number_of_Occupants_11-persons,Number_of_Homes_for_Which_Value_was_Reported_Total,Homes_for_Which_Value_was_Reported_by_Reported_Value_Under$500,Homes_for_Which_Value_was_Reported_by_Reported_Value_$500-$699,Homes_for_Which_Value_was_Reported_by_Reported_Value_$700-$999,Homes_for_Which_Value_was_Reported_by_Reported_Value_$1000-$1499,Homes_for_Which_Value_was_Reported_by_Reported_Value_$1500-$1999,Homes_for_Which_Value_was_Reported_by_Reported_Value_$2000-$2499,Homes_for_Which_Value_was_Reported_by_Reported_Value_$2500-$2999,Homes_for_Which_Value_was_Reported_by_Reported_Value_$3000-$3999,Homes_for_Which_Value_was_Reported_by_Reported_Value_$4000-$4999,Homes_for_Which_Value_was_Reported_by_Reported_Value_$5000-$5999,Homes_for_Which_Value_was_Reported_by_Reported_Value_$6000-$7499,Homes_for_Which_Value_was_Reported_by_Reported_Value_$7500-$9999,Homes_for_Which_Value_was_Reported_by_Reported_Value_$10000-$14999,Homes_for_Which_Value_was_Reported_by_Reported_Value_$15000-$19999,Homes_for_Which_Value_was_Reported_by_Reported_Value_$20000+,Median_Value_of_Homes_for_Which_Value_was_Reported_Medianvalue,Homes_that_Reported_Contract_Monthly_Rent_Total,Homes_by_Contract_Monthly_Rent_Under$5,Homes_by_Contract_Monthly_Rent_$5-$6,Homes_by_Contract_Monthly_Rent_$7-$9,Homes_by_Contract_Monthly_Rent_$10-$14,Homes_by_Contract_Monthly_Rent_$15-$19,Homes_by_Contract_Monthly_Rent_$20-$24,Homes_by_Contract_Monthly_Rent_$25-$29,Homes_by_Contract_Monthly_Rent_$30-$39,Homes_by_Contract_Monthly_Rent_$40-$49,Homes_by_Contract_Monthly_Rent_$50-$59,Homes_by_Contract_Monthly_Rent_$60-$74,Homes_by_Contract_Monthly_Rent_$75-$99,Homes_by_Contract_Monthly_Rent_$100-$149,Homes_by_Contract_Monthly_Rent_$150-$199,Homes_by_Contract_Monthly_Rent_$200+,Median_Contract_Monthly_Rent_Mediancontractmonthlyrent,Total_Homes_that_Reported_Gross_Monthly_Rent_Total,Homes_by_Gross_Monthly_Rent_Under$5,Homes_by_Gross_Monthly_Rent_$5-$6,Homes_by_Gross_Monthly_Rent_$7-$9,Homes_by_Gross_Monthly_Rent_$10-$14,Homes_by_Gross_Monthly_Rent_$15-$19,Homes_by_Gross_Monthly_Rent_$20-$24,Homes_by_Gross_Monthly_Rent_$25-$29,Homes_by_Gross_Monthly_Rent_$30-$39,Homes_by_Gross_Monthly_Rent_$40-$49,Homes_by_Gross_Monthly_Rent_$50-$59,Homes_by_Gross_Monthly_Rent_$60-$74,Homes_by_Gross_Monthly_Rent_$75-$99,Homes_by_Gross_Monthly_Rent_$100+,Median_Gross_Monthly_Rent_Mediangrossmonthlyrent,Dwelling_Units_by_State_of_Repair_Notneedingmajorrepairs,Dwelling_Units_by_State_of_Repair_Needingmajorrepairs,Dwelling_Units_by_State_of_Repair_Notreporting
1316,G17003100001,1940,Illinois,17,Cook,31,,1,,STCTY-17031 TRACT-    0001     IN CHICAGO IL,4606,4600,6,4,1456,1456,1555,133,1323,133,0,0,1323,0,0,94,5,129,2,2,106,159,48,69,801,48,191,0,64,485,414,298,119,47,19,6,1,3,0,133,1,0,0,0,0,6,1,23,21,23,34,16,7,1,0,5630,1321,0,0,0,10,8,19,41,374,552,231,74,10,2,0,0,43.28,1308,0,0,0,4,14,11,17,247,587,241,163,22,2,45.65,1475,52,28
1317,G17003100002,1940,Illinois,17,Cook,31,,2,,STCTY-17031 TRACT-    0002     IN CHICAGO IL,1619,1617,2,2,433,433,467,74,359,74,0,0,359,0,0,33,1,36,1,0,78,123,8,1,220,0,0,0,13,76,109,113,75,30,13,4,0,0,0,73,0,1,0,0,0,1,0,8,17,15,11,9,11,0,0,0,359,0,0,0,0,1,1,3,41,104,98,93,18,0,0,0,52.51,355,0,0,0,0,1,0,2,18,91,82,125,34,2,57.49,466,0,1
1318,G17003100003,1940,Illinois,17,Cook,31,,3,,STCTY-17031 TRACT-    0003     IN CHICAGO IL,7391,7370,21,21,2324,2324,2470,218,2106,218,0,0,2104,2,0,144,2,209,0,4,110,177,24,36,1293,55,559,3,153,760,641,463,176,77,31,13,4,3,3,216,0,0,0,1,1,2,10,13,31,28,34,31,44,17,4,6971,2100,0,0,0,2,3,20,21,313,861,504,257,96,23,0,0,47.53,2084,0,0,0,3,11,11,55,308,529,619,387,127,34,51.52,2325,55,90
1319,G17003100004,1940,Illinois,17,Cook,31,,4,,STCTY-17031 TRACT-    0004     IN CHICAGO IL,8901,8867,34,19,2836,2836,3001,315,2521,314,1,0,2514,1,6,163,2,330,9,4,276,114,52,117,1448,150,499,2,176,980,767,512,229,101,43,12,10,5,1,313,0,1,0,2,5,28,25,54,45,49,43,24,28,5,4,4922,2520,1,1,0,10,47,59,98,382,865,643,310,97,7,0,0,47.15,2499,0,1,1,21,36,52,70,318,644,814,408,124,10,50.81,2702,132,167
1320,G17003100005,1940,Illinois,17,Cook,31,,5,,STCTY-17031 TRACT-    0005     IN CHICAGO IL,16447,16392,55,39,5188,5188,5662,300,4888,300,0,0,4883,1,4,463,11,137,2,0,438,351,104,72,2463,466,1627,2,363,1810,1340,931,455,177,78,14,11,5,4,299,0,0,0,0,1,1,3,24,54,68,59,32,34,10,13,5978,4881,0,0,2,6,9,23,49,708,1633,904,895,520,122,9,1,49.62,4850,0,0,2,32,14,19,76,766,1363,975,824,620,159,51.07,5466,28,168
1321,G17003100006,1940,Illinois,17,Cook,31,,6,,STCTY-17031 TRACT-    0006     IN CHICAGO IL,7859,7846,13,12,2552,2552,2688,266,2286,266,0,0,2285,0,1,123,13,157,94,14,200,411,52,38,1322,191,206,3,76,983,732,420,208,81,34,10,7,1,0,255,0,0,2,4,5,12,17,31,51,24,39,21,37,10,2,5229,2284,0,0,2,12,10,19,41,260,855,561,307,170,47,0,0,48.83,2270,0,0,0,5,11,14,14,182,647,748,386,188,75,53.0,2569,35,84
1322,G17003100007,1940,Illinois,17,Cook,31,,7,,STCTY-17031 TRACT-    0007     IN CHICAGO IL,5716,5694,22,13,1978,1978,2209,135,1843,135,0,0,1836,1,6,217,14,203,0,0,38,96,56,47,870,95,803,1,207,854,454,253,119,49,18,14,3,4,3,134,0,1,0,0,0,1,4,2,5,10,7,25,47,15,17,11277,1841,0,0,0,8,15,19,37,201,434,408,401,226,86,6,0,54.56,1815,1,0,1,7,20,21,39,208,414,381,398,246,79,54.66,2132,23,54
1323,G17003100008,1940,Illinois,17,Cook,31,,8,,STCTY-17031 TRACT-    0008     IN CHICAGO IL,8026,7984,42,20,2829,2829,3054,73,2756,73,0,0,2752,0,4,218,7,50,3,4,18,330,68,27,1665,325,563,1,222,1175,804,381,154,56,20,10,3,3,1,71,0,0,0,1,1,3,2,7,4,11,12,6,16,6,2,0,2746,0,0,1,6,11,30,34,833,1030,352,324,101,23,1,0,43.95,2734,0,1,0,8,34,45,56,619,1042,384,388,130,27,45.3,2959,22,73
1324,G17003100009,1940,Illinois,17,Cook,31,,9,,STCTY-17031 TRACT-    0009     IN CHICAGO IL,12139,12113,26,16,3502,3502,3593,1015,2487,1010,5,0,2475,6,6,76,15,519,1,2,1086,603,196,82,308,699,95,2,65,881,1007,903,400,165,48,16,12,5,0,1009,0,0,1,4,1,13,13,59,158,261,257,171,66,4,1,5979,2485,0,1,0,11,13,13,26,155,689,737,562,263,15,0,0,54.04,2447,0,0,0,7,10,17,17,89,520,641,770,339,37,58.29,3347,53,193
1325,G17003100010,1940,Illinois,17,Cook,31,,10,,STCTY-17031 TRACT-    0010     IN CHICAGO IL,4018,3991,27,27,1097,1097,1117,265,832,265,0,0,832,0,0,20,0,159,0,0,178,285,52,11,105,207,120,0,9,231,284,314,183,48,17,8,2,1,0,264,1,0,0,2,2,7,7,9,32,30,39,75,39,11,10,7600,830,0,0,0,4,6,4,8,30,214,198,175,185,6,0,0,57.03,818,0,0,0,0,3,8,5,22,161,183,188,227,21,61.65,984,13,120
