GISJOIN,YEAR,TRACTA,COUNTY,STATE,Total Pop,% White,% Black,% Other races,Total Units,% Occupied,% Vacant,% Owner Occupied,% Renter
G17003100001,1960,1,Cook,Illinois,4237.0,0.9893792777908897,0.0002360160490913382,0.0059004012272834555,1698.0,0.9570082449941107,0.04299175500588928,0.1513545347467609,0.8056537102473498
G17003100002,1960,2,Cook,Illinois,1510.0,1.0,0.0,0.0033112582781456954,477.0,0.9811320754716981,0.018867924528301886,0.2348008385744235,0.7463312368972747
G17003100003,1960,3,Cook,Illinois,6622.0,0.9960736937481124,0.0006040471156750226,0.0045303533675626695,2793.0,0.9645542427497314,0.03544575725026853,0.13820264948084496,0.8263515932688865
G17003100004,1960,4,Cook,Illinois,8051.0,0.9908085952055645,0.0008694572102844367,0.008570363929946591,3348.0,0.9339904420549582,0.06600955794504182,0.1490442054958184,0.7849462365591398
G17003100005A,1960,5,Cook,Illinois,9596.0,0.9891621508962067,0.0010421008753647354,0.010004168403501459,4410.0,0.9312925170068027,0.06870748299319727,0.0836734693877551,0.8476190476190476
G17003100005B,1960,5,Cook,Illinois,5074.0,0.9968466692944422,0.0017737485218762318,0.0007883326763894363,2087.0,0.9319597508385242,0.0680402491614758,0.09822712026832775,0.8337326305701964
G17003100006,1960,6,Cook,Illinois,8614.0,0.9966333875087068,0.0005804504295333178,0.005107963779893197,3496.0,0.9622425629290617,0.03775743707093822,0.15102974828375287,0.8112128146453089
G17003100007,1960,7,Cook,Illinois,5821.0,0.9951898299261295,0.0029204604019927847,0.0036076275554028517,2732.0,0.9432650073206442,0.056734992679355785,0.09407027818448023,0.849194729136164
G17003100008,1960,8,Cook,Illinois,7363.0,0.9918511476300421,0.0005432568246638599,0.004617683009642808,3482.0,0.9382538770821367,0.0617461229178633,0.048248133256748996,0.8900057438253877
G17003100009,1960,9,Cook,Illinois,11753.0,0.9985535607929891,0.0009359312515953373,0.0022122011401344336,4071.0,0.9891918447555883,0.010808155244411692,0.40555146155735694,0.5836403831982314
G17003100010,1960,10,Cook,Illinois,7763.0,0.9984542058482545,0.0014169779724333377,0.0003864485379363648,2504.0,0.9892172523961661,0.010782747603833865,0.5435303514376997,0.44568690095846647
G17003100011,1960,11,Cook,Illinois,8661.0,0.99907631913174,0.0006927606511950121,0.0030019628218450525,2978.0,0.9785090664875755,0.021490933512424447,0.2558764271323036,0.722632639355272
G17003100012,1960,12,Cook,Illinois,9884.0,0.9972683124241198,0.0010117361392148927,0.0017199514366653178,3298.0,0.9851425106124925,0.01485748938750758,0.4787750151607035,0.5063674954517889
G17003100013,1960,13,Cook,Illinois,5411.0,0.9992607651081131,0.00018480872297172427,0.00018480872297172427,1833.0,0.9759956355701036,0.024004364429896344,0.3022367703218767,0.6737588652482269
G17003100014,1960,14,Cook,Illinois,7092.0,0.9937958262831359,0.0025380710659898475,0.0022560631697687537,2306.0,0.9856895056374675,0.014310494362532523,0.5754553339115351,0.41023417172593235
G17003100015,1960,15,Cook,Illinois,3730.0,0.996514745308311,0.0005361930294906167,0.0013404825737265416,1378.0,0.9550072568940493,0.04499274310595065,0.36792452830188677,0.5870827285921626
G17003100016,1960,16,Cook,Illinois,6471.0,0.9956730026271056,0.003245248029670839,0.0018544274455261937,1804.0,0.9822616407982262,0.017738359201773836,0.8791574279379157,0.10310421286031042
G17003100017,1960,17,Cook,Illinois,3119.0,1.0,0.0003206155819172812,0.0003206155819172812,1109.0,0.9549143372407575,0.04508566275924256,0.3570784490532011,0.5978358881875564
G17003100018,1960,18,Cook,Illinois,3366.0,0.9818775995246584,0.0,0.018122400475341652,1598.0,0.9593241551939925,0.040675844806007506,0.09887359198998748,0.860450563204005
