geo_id,geo_name,ind_id,life_exp,year
224892,1-Rogers Park,652,70,1990
224893,2-West Ridge,652,76,1990
224894,3-Uptown,652,64,1990
224895,4-Lincoln Square,652,74,1990
224896,5-North Center,652,73,1990
224897,6-Lakeview,652,73,1990
224898,7-Lincoln Park,652,73,1990
224899,8-Near North Side,652,74,1990
224900,9-Edison Park,652,77,1990
224901,10-Norwood Park,652,76,1990
224902,11-Jefferson Park,652,76,1990
224903,12-Forest Glen,652,78,1990
224904,13-North Park,652,76,1990
224905,14-Albany Park,652,74,1990
224906,15-Portage Park,652,75,1990
224907,16-Irving Park,652,74,1990
224908,17-Dunning,652,76,1990
224909,18-Montclare,652,77,1990
224910,19-Belmont Cragin,652,73,1990
224911,20-Hermosa,652,74,1990
224912,21-Avondale,652,74,1990
224913,22-Logan Square,652,71,1990
224914,23-Humboldt Park,652,68,1990
224915,24-West Town,652,70,1990
224916,25-Austin,652,66,1990
224917,26-West Garfield Park,652,63,1990
224918,27-East Garfield Park,652,61,1990
224919,28-Near West Side,652,63,1990
224920,29-North Lawndale,652,62,1990
224921,30-South Lawndale,652,72,1990
224922,31-Lower West Side,652,74,1990
224923,32-Loop,652,73,1990
224924,33-Near South Side,652,60,1990
224925,34-Armour Square,652,74,1990
224926,35-Douglas,652,64,1990
224927,36-Oakland,652,60,1990
224928,37-Fuller Park,652,59,1990
224929,38-Grand Boulevard,652,57,1990
224930,39-Kenwood,652,67,1990
224931,40-Washington Park,652,58,1990
224932,41-Hyde Park,652,75,1990
224933,42-Woodlawn,652,63,1990
224934,43-South Shore,652,68,1990
224935,44-Chatham,652,71,1990
224936,45-Avalon Park,652,68,1990
224937,46-South Chicago,652,69,1990
224938,47-Burnside,652,70,1990
224939,48-Calumet Heights,652,72,1990
224940,49-Roseland,652,66,1990
224941,50-Pullman,652,67,1990
224942,51-South Deering,652,70,1990
224943,52-East Side,652,73,1990
224944,53-West Pullman,652,67,1990
224945,54-Riverdale,652,67,1990
224946,55-Hegewisch,652,72,1990
224947,56-Garfield Ridge,652,74,1990
224948,57-Archer Heights,652,73,1990
224949,58-Brighton Park,652,71,1990
224950,59-McKinley Park,652,72,1990
224951,60-Bridgeport,652,73,1990
224952,61-New City,652,65,1990
224953,62-West Elsdon,652,76,1990
224954,63-Gage Park,652,73,1990
224955,64-Clearing,652,74,1990
224956,65-West Lawn,652,74,1990
224957,66-Chicago Lawn,652,72,1990
224958,67-West Englewood,652,64,1990
224959,68-Englewood,652,62,1990
224960,69-Greater Grand Crossing,652,65,1990
224961,70-Ashburn,652,73,1990
224962,71-Auburn Gresham,652,68,1990
224963,72-Beverly,652,75,1990
224964,73-Washington Heights,652,68,1990
224965,74-Mount Greenwood,652,75,1990
224966,75-Morgan Park,652,72,1990
224967,76-O'Hare,652,78,1990
224968,77-Edgewater,652,78,1990
224979,1-Rogers Park,652,73,2000
224980,2-West Ridge,652,78,2000
224981,3-Uptown,652,71,2000
224982,4-Lincoln Square,652,76,2000
224983,5-North Center,652,77,2000
224984,6-Lakeview,652,79,2000
224985,7-Lincoln Park,652,76,2000
224986,8-Near North Side,652,79,2000
224987,9-Edison Park,652,79,2000
224988,10-Norwood Park,652,78,2000
224989,11-Jefferson Park,652,79,2000
224990,12-Forest Glen,652,80,2000
224991,13-North Park,652,78,2000
224992,14-Albany Park,652,77,2000
224993,15-Portage Park,652,76,2000
224994,16-Irving Park,652,77,2000
224995,17-Dunning,652,79,2000
224996,18-Montclare,652,79,2000
224997,19-Belmont Cragin,652,76,2000
224998,20-Hermosa,652,77,2000
224999,21-Avondale,652,77,2000
225000,22-Logan Square,652,75,2000
225001,23-Humboldt Park,652,71,2000
225002,24-West Town,652,75,2000
225003,25-Austin,652,69,2000
225004,26-West Garfield Park,652,66,2000
225005,27-East Garfield Park,652,65,2000
225006,28-Near West Side,652,72,2000
225007,29-North Lawndale,652,67,2000
225008,30-South Lawndale,652,76,2000
225009,31-Lower West Side,652,77,2000
225010,32-Loop,652,81,2000
225011,33-Near South Side,652,68,2000
225012,34-Armour Square,652,77,2000
225013,35-Douglas,652,65,2000
225014,36-Oakland,652,68,2000
225015,37-Fuller Park,652,66,2000
225016,38-Grand Boulevard,652,64,2000
225017,39-Kenwood,652,74,2000
225018,40-Washington Park,652,63,2000
225019,41-Hyde Park,652,82,2000
225020,42-Woodlawn,652,68,2000
225021,43-South Shore,652,69,2000
225022,44-Chatham,652,71,2000
225023,45-Avalon Park,652,72,2000
225024,46-South Chicago,652,71,2000
225025,47-Burnside,652,71,2000
225026,48-Calumet Heights,652,73,2000
225027,49-Roseland,652,69,2000
225028,50-Pullman,652,71,2000
225029,51-South Deering,652,73,2000
225030,52-East Side,652,75,2000
225031,53-West Pullman,652,69,2000
225032,54-Riverdale,652,70,2000
225033,55-Hegewisch,652,73,2000
225034,56-Garfield Ridge,652,76,2000
225035,57-Archer Heights,652,77,2000
225036,58-Brighton Park,652,76,2000
225037,59-McKinley Park,652,74,2000
225038,60-Bridgeport,652,75,2000
225039,61-New City,652,72,2000
225040,62-West Elsdon,652,75,2000
225041,63-Gage Park,652,76,2000
225042,64-Clearing,652,75,2000
225043,65-West Lawn,652,74,2000
225044,66-Chicago Lawn,652,73,2000
225045,67-West Englewood,652,67,2000
225046,68-Englewood,652,66,2000
225047,69-Greater Grand Crossing,652,69,2000
225048,70-Ashburn,652,73,2000
225049,71-Auburn Gresham,652,68,2000
225050,72-Beverly,652,78,2000
225051,73-Washington Heights,652,70,2000
225052,74-Mount Greenwood,652,76,2000
225053,75-Morgan Park,652,72,2000
225054,76-O'Hare,652,80,2000
225055,77-Edgewater,652,76,2000
225066,1-Rogers Park,652,77,2010
225067,2-West Ridge,652,80,2010
225068,3-Uptown,652,76,2010
225069,4-Lincoln Square,652,80,2010
225070,5-North Center,652,81,2010
225071,6-Lakeview,652,81,2010
225072,7-Lincoln Park,652,81,2010
225073,8-Near North Side,652,85,2010
225074,9-Edison Park,652,81,2010
225075,10-Norwood Park,652,80,2010
225076,11-Jefferson Park,652,79,2010
225077,12-Forest Glen,652,83,2010
225078,13-North Park,652,84,2010
225079,14-Albany Park,652,80,2010
225080,15-Portage Park,652,80,2010
225081,16-Irving Park,652,79,2010
225082,17-Dunning,652,79,2010
225083,18-Montclare,652,79,2010
225084,19-Belmont Cragin,652,79,2010
225085,20-Hermosa,652,80,2010
225086,21-Avondale,652,79,2010
225087,22-Logan Square,652,80,2010
225088,23-Humboldt Park,652,74,2010
225089,24-West Town,652,79,2010
225090,25-Austin,652,71,2010
225091,26-West Garfield Park,652,68,2010
225092,27-East Garfield Park,652,71,2010
225093,28-Near West Side,652,78,2010
225094,29-North Lawndale,652,72,2010
225095,30-South Lawndale,652,82,2010
225096,31-Lower West Side,652,81,2010
225097,32-Loop,652,85,2010
225098,33-Near South Side,652,80,2010
225099,34-Armour Square,652,81,2010
225100,35-Douglas,652,74,2010
225101,36-Oakland,652,73,2010
225102,37-Fuller Park,652,69,2010
225103,38-Grand Boulevard,652,74,2010
225104,39-Kenwood,652,80,2010
225105,40-Washington Park,652,68,2010
225106,41-Hyde Park,652,82,2010
225107,42-Woodlawn,652,74,2010
225108,43-South Shore,652,72,2010
225109,44-Chatham,652,74,2010
225110,45-Avalon Park,652,74,2010
225111,46-South Chicago,652,72,2010
225112,47-Burnside,652,71,2010
225113,48-Calumet Heights,652,77,2010
225114,49-Roseland,652,72,2010
225115,50-Pullman,652,76,2010
225116,51-South Deering,652,76,2010
225117,52-East Side,652,78,2010
225118,53-West Pullman,652,71,2010
225119,54-Riverdale,652,76,2010
225120,55-Hegewisch,652,77,2010
225121,56-Garfield Ridge,652,79,2010
225122,57-Archer Heights,652,79,2010
225123,58-Brighton Park,652,80,2010
225124,59-McKinley Park,652,80,2010
225125,60-Bridgeport,652,80,2010
225126,61-New City,652,74,2010
225127,62-West Elsdon,652,81,2010
225128,63-Gage Park,652,79,2010
225129,64-Clearing,652,77,2010
225130,65-West Lawn,652,80,2010
225131,66-Chicago Lawn,652,75,2010
225132,67-West Englewood,652,70,2010
225133,68-Englewood,652,70,2010
225134,69-Greater Grand Crossing,652,71,2010
225135,70-Ashburn,652,78,2010
225136,71-Auburn Gresham,652,72,2010
225137,72-Beverly,652,80,2010
225138,73-Washington Heights,652,74,2010
225139,74-Mount Greenwood,652,79,2010
225140,75-Morgan Park,652,75,2010
225141,76-O'Hare,652,82,2010
225142,77-Edgewater,652,79,2010
