GISJOIN,YEAR,TRACTA,COUNTY,STATE,Total Pop,% White,% Black,% Other races,Total Units,Median,% Occupied,% Vacant,% Owner Occupied,% Renter
G17003100001,1950,1,Cook,Illinois,4775.0,0.998324607329843,0.001256544502617801,0.000418848167539267,1631.0,13539,0.9926425505824648,0.0073574494175352445,0.13712168004941322,0.8628783199505868
G17003100002,1950,2,Cook,Illinois,1578.0,1.0,0.0,0.0,485.0,NaN,0.9917525773195877,0.008247422680412342,0.2494802494802495,0.7505197505197505
G17003100003,1950,3,Cook,Illinois,7147.0,0.9980411361410382,0.0016790261648244019,0.0002798376941374003,2536.0,17316,0.9897476340694006,0.010252365930599416,0.13904382470119522,0.8609561752988047
G17003100004,1950,4,Cook,Illinois,9050.0,0.9953591160220995,0.0025414364640883977,0.0020994475138121547,3088.0,13647,0.9906088082901554,0.009391191709844593,0.16181758744687808,0.838182412553122
G17003100005,1950,5,Cook,Illinois,17082.0,0.9975998126683058,0.001639152324083831,0.00076103500761035,6273.0,NaN,0.9730591423561294,0.026940857643870553,0.09157929226736566,0.9084207077326344
G17003100006,1950,6,Cook,Illinois,7927.0,0.9992430932256844,0.0007569067743156302,0.0,2890.0,15530,0.9647058823529412,0.03529411764705881,0.15781922525107603,0.8421807747489239
G17003100007,1950,7,Cook,Illinois,6341.0,0.9966882195237344,0.0028386689796562055,0.00047311149660936763,2499.0,20000,0.9663865546218487,0.03361344537815125,0.10848861283643893,0.891511387163561
G17003100008,1950,8,Cook,Illinois,8352.0,0.9970067049808429,0.0017959770114942528,0.0011973180076628352,3218.0,NaN,0.9853946550652579,0.014605344934742082,0.0586565752128666,0.9413434247871334
G17003100009,1950,9,Cook,Illinois,11470.0,0.997384481255449,0.0017436791630340018,0.0008718395815170009,3682.0,17117,0.9940249864204237,0.005975013579576305,0.3860655737704918,0.6139344262295082
G17003100010,1950,10,Cook,Illinois,4341.0,0.9970052983183598,0.002994701681640175,0.0,1315.0,20000,0.9923954372623575,0.0076045627376425395,0.37777777777777777,0.6222222222222222
G17003100011,1950,11,Cook,Illinois,6901.0,0.9969569627590205,0.002608317635125344,0.000434719605854224,2051.0,NaN,0.9868356899073623,0.013164310092637743,0.24555335968379446,0.7544466403162056
G17003100012,1950,12,Cook,Illinois,7985.0,0.9968691296180339,0.002504696305572949,0.0006261740763932373,2531.0,20000,0.9743184512050573,0.025681548794942666,0.39699918896999187,0.6030008110300081
