GISJOIN,YEAR,TRACTA,COUNTY,STATE,Total Pop,% White,% Black,% Other races,Total Units,% Occupied,% Vacant,% Owner Occupied,% Renter
G17003100101,1970,101,Cook,Illinois,6969,0.9111780743291721,0.05581862534079495,0.033003300330033,3524,0.9523269012485811,0.04767309875141884,0.04769183735860593,0.9523081626413941
G17003100102,1970,102,Cook,Illinois,8771,0.9587276251282636,0.0039904229848363925,0.03728195188690001,3908,0.9654554759467758,0.034544524053224154,0.13015006821282402,0.869849931787176
G17003100103,1970,103,Cook,Illinois,6744,0.9580367734282325,0.010824436536180308,0.03113879003558719,3318,0.9550934297769741,0.04490657022302592,0.11189938729442116,0.8881006127055788
G17003100104,1970,104,Cook,Illinois,5584,0.9699140401146131,0.0164756446991404,0.013610315186246419,2416,0.9739238410596026,0.026076158940397352,0.09659335920655455,0.9034066407934455
G17003100105,1970,105,Cook,Illinois,11118,0.9537686634286742,0.00953408886490376,0.03669724770642202,5516,0.9619289340101523,0.03807106598984772,0.05574912891986063,0.9442508710801394
G17003100106,1970,106,Cook,Illinois,7181,0.9690850856426682,0.0022281019356635567,0.02868681242166829,3265,0.9506891271056661,0.04931087289433384,0.10243741765480896,0.897562582345191
G17003100107,1970,107,Cook,Illinois,8848,0.9615732368896925,0.0038426763110307413,0.03458408679927667,3861,0.9611499611499611,0.03885003885003885,0.14922480620155038,0.8507751937984496
G17003100108,1970,108,Cook,Illinois,4037,0.9717612088184295,0.0007431260837255387,0.027495665097844936,1744,0.966743119266055,0.033256880733944956,0.1358695652173913,0.8641304347826086
G17003100109,1970,109,Cook,Illinois,1529,0.9241334205362982,0.009810333551340745,0.06605624591236102,479,0.9770354906054279,0.022964509394572025,0.20089285714285715,0.7991071428571429
G17003100201,1970,201,Cook,Illinois,3606,0.992789794786467,0.0027731558513588465,0.004437049362174155,1497,0.9746158984635939,0.025384101536406144,0.27693370165745856,0.7230662983425414
G17003100202,1970,202,Cook,Illinois,6309,0.9947693770803614,0.0,0.005230622919638612,1982,0.9944500504540867,0.0035317860746720484,0.8335030549898167,0.1664969450101833
G17003100203,1970,203,Cook,Illinois,8924,0.9917077543702376,0.00235320484087853,0.005939040788883908,3423,0.9897750511247444,0.010224948875255624,0.6661725466943373,0.3338274533056626
G17003100204,1970,204,Cook,Illinois,4316,0.9902687673772012,0.0,0.009731232622798888,1688,0.9834123222748815,0.01481042654028436,0.3910139647844566,0.6089860352155434
G17003100205,1970,205,Cook,Illinois,5948,0.9794889038332213,0.006388702084734364,0.014122394082044385,2064,0.9752906976744186,0.024709302325581394,0.2506265664160401,0.7493734335839599
G17003100206,1970,206,Cook,Illinois,9346,0.9909052000855981,0.001497967044725016,0.007596832869676867,3484,0.985361653272101,0.014638346727898967,0.45355991796073836,0.5464400820392616
G17003100207,1970,207,Cook,Illinois,7509,0.9873485151151951,0.0,0.0126514848848049,2732,0.9849926793557833,0.013543191800878478,0.48799699924981244,0.5120030007501876
G17003100208,1970,208,Cook,Illinois,11466,0.9863945578231292,0.0,0.013605442176870748,4278,0.9845722300140253,0.015427769985974754,0.38057553956834533,0.6194244604316547
G17003100209,1970,209,Cook,Illinois,8039,0.9868142803831322,0.0006219679064560268,0.012563751710411743,3252,0.980319803198032,0.01968019680196802,0.25554148195060167,0.7444585180493983
G17003100301,1970,301,Cook,Illinois,11871,0.9628506444275967,0.00817117344789824,0.028978182124505095,7096,0.9295377677564826,0.07046223224351747,0.11012599160055997,0.8898740083994401
G17003100302,1970,302,Cook,Illinois,7253,0.9470563904591204,0.0,0.052943609540879635,2558,0.9745895230648944,0.02541047693510555,0.2797818791946309,0.7202181208053692
G17003100303,1970,303,Cook,Illinois,2750,0.9821818181818182,0.0014545454545454545,0.016363636363636365,1233,0.9683698296836983,0.031630170316301706,0.24216765453005928,0.7578323454699407
G17003100304,1970,304,Cook,Illinois,2887,0.9248354693453412,0.0,0.07516453065465882,1174,0.9676320272572402,0.03236797274275979,0.26440037771482533,0.7355996222851747
G17003100305,1970,305,Cook,Illinois,8117,0.9056301589257114,0.006775902427005051,0.08759393864728347,3147,0.9628217349857007,0.037178265014299335,0.1865671641791045,0.8134328358208955
G17003100306,1970,306,Cook,Illinois,10051,0.9535369614963686,0.009849766192418665,0.036613272311212815,6311,0.9549992077325306,0.045000792267469496,0.08867667121418826,0.9113233287858117
G17003100307,1970,307,Cook,Illinois,8457,0.9178195577628,0.014780655078633085,0.06739978715856687,5123,0.8951786062853797,0.10072223306656256,0.09475620975160993,0.9052437902483901
G17003100308,1970,308,Cook,Illinois,5974,0.9077669902912622,0.002845664546367593,0.08938734516237028,2279,0.9644580956559895,0.03554190434401053,0.2850877192982456,0.7149122807017544
G17003100309,1970,309,Cook,Illinois,4238,0.9490325625294951,0.0,0.05096743747050495,1598,0.9762202753441802,0.023779724655819776,0.28970099667774085,0.7102990033222591
G17003100310,1970,310,Cook,Illinois,4605,0.9522258414766558,0.0,0.04777415852334419,1864,0.9608369098712446,0.039163090128755365,0.1839814277423099,0.81601857225769
