GISJOIN,YEAR,TRACTA,COUNTY,STATE,Total Pop,% White,% Black,% Other races,Total Units,% Occupied,% Vacant,% Owner Occupied,% Renter
G17003100101,1980,101,Cook,Illinois,6309,0.4926295767950547,0.3073387224599778,0.2000317007449675,2975,0.8692436974789916,0.1307563025210084,0.06419180201082754,0.9358081979891725
G17003100102,1980,102,Cook,Illinois,8087,0.7895387659206133,0.09014467664152344,0.12031655743786324,3970,0.9428211586901764,0.057178841309823675,0.15976489446967673,0.8402351055303233
G17003100103,1980,103,Cook,Illinois,6470,0.7947449768160741,0.06584234930448223,0.1394126738794436,3359,0.9217028877642155,0.07829711223578446,0.18023255813953487,0.8197674418604651
G17003100104,1980,104,Cook,Illinois,4856,0.8976523887973641,0.048599670510708404,0.05374794069192751,2363,0.9242488362251375,0.07575116377486246,0.13598901098901098,0.864010989010989
G17003100105,1980,105,Cook,Illinois,9747,0.8134810710987996,0.08320508874525495,0.10331384015594541,6181,0.9257401714932859,0.07425982850671413,0.0788185948968892,0.9211814051031108
G17003100106,1980,106,Cook,Illinois,6620,0.7968277945619335,0.05830815709969789,0.14486404833836858,3269,0.9314775160599572,0.06852248394004283,0.161247947454844,0.838752052545156
G17003100107,1980,107,Cook,Illinois,8471,0.7742887498524377,0.06669814661787274,0.15901310352968953,4004,0.938061938061938,0.061938061938061936,0.18743343982960597,0.8125665601703941
G17003100108,1980,108,Cook,Illinois,3742,0.8009086050240513,0.02672367717797969,0.172367717797969,1794,0.9509476031215162,0.04905239687848383,0.1336459554513482,0.8663540445486518
G17003100109,1980,109,Cook,Illinois,1223,0.7350776778413737,0.02698282910874898,0.23793949304987735,486,0.948559670781893,0.051440329218107,0.2472885032537961,0.7527114967462039
G17003100201,1980,201,Cook,Illinois,3182,0.9267756128221244,0.018541797611565054,0.054682589566310495,1586,0.9602774274905422,0.03972257250945776,0.35390676296782664,0.6460932370321734
G17003100202,1980,202,Cook,Illinois,5842,0.8851420746319754,0.002396439575487847,0.1124614857925368,2094,0.9775549188156638,0.022445081184336198,0.8373229115779189,0.1626770884220811
G17003100203,1980,203,Cook,Illinois,8426,0.9439829100403513,0.005696653216235461,0.050320436743413244,3765,0.9575033200531209,0.04249667994687915,0.714008321775312,0.2859916782246879
G17003100204,1980,204,Cook,Illinois,3943,0.9178290641643418,0.005833121988333756,0.07633781384732437,1867,0.9560792715586502,0.04392072844134976,0.4128851540616246,0.5871148459383754
G17003100205,1980,205,Cook,Illinois,4938,0.8396111786148238,0.01923855812069664,0.14115026326447955,2165,0.9459584295612009,0.05404157043879908,0.2783203125,0.7216796875
G17003100206,1980,206,Cook,Illinois,8785,0.9164484917472965,0.0014797951052931133,0.08207171314741035,3647,0.9703866191390184,0.029613380860981628,0.4447584063294716,0.5552415936705284
G17003100207,1980,207,Cook,Illinois,7521,0.9008110623587289,0.004254753357266321,0.09493418428400478,2968,0.9669811320754716,0.0330188679245283,0.5055749128919861,0.4944250871080139
G17003100208,1980,208,Cook,Illinois,10640,0.8914473684210527,0.002161654135338346,0.10639097744360902,4373,0.9682140407043219,0.031785959295678026,0.3769485120453472,0.6230514879546528
G17003100209,1980,209,Cook,Illinois,7852,0.8205552725420275,0.01719307182883342,0.16225165562913907,3616,0.9272676991150443,0.07273230088495575,0.3710110348941247,0.6289889651058753
G17003100301,1980,301,Cook,Illinois,11978,0.6639672733344465,0.21088662548004675,0.12514610118550676,7566,0.8822363203806503,0.11776367961934972,0.2798501872659176,0.7201498127340824
G17003100302,1980,302,Cook,Illinois,6449,0.8443169483640874,0.021708792060784618,0.13397425957512793,2786,0.9583632447954056,0.0416367552045944,0.30262172284644195,0.697378277153558
G17003100303,1980,303,Cook,Illinois,3062,0.8523840627041149,0.015676028739386023,0.131939908556499,1523,0.9579776756401839,0.04202232435981615,0.2604523646333105,0.7395476353666895
G17003100304,1980,304,Cook,Illinois,2629,0.699885888170407,0.013693419551160137,0.28642069227843286,1111,0.9297929792979298,0.0702070207020702,0.2749273959341723,0.7250726040658277
G17003100305,1980,305,Cook,Illinois,7546,0.7065995229260535,0.03405777895573814,0.2593426981182083,3174,0.9158790170132325,0.08412098298676748,0.22703818369453044,0.7729618163054696
G17003100306,1980,306,Cook,Illinois,9001,0.6798133540717698,0.21008776802577492,0.11009887790245529,6360,0.875,0.125,0.19694519317160827,0.8030548068283917
