NHGISCODE|GJOIN1970|GJOIN1980|GJOIN1990|GJOIN2000|GJOIN2012|STATE|COUNTY|TRACTA|Total_1970|Total_1980|Total_1990|Total_2000|Total_2010|High_Attainment_1970|High_Attainment_1980|High_Attainment_1990|High_Attainment_2000|High_Attainment_2010
G1700010000100|G17000100001|G17000100001|G17000100001|G1700010000100|G1700010000100|Illinois|Adams County|100|3150.0|3113.0|3051.0|3176.0|3485.0|0.09650793650793651|0.0989399293286219|0.1376597836774828|0.11083123425692695|0.19253945480631277
G1700010000200|G17000100002|||||Illinois|Adams County|200|3488.0|0.0|0.0|0.0|0.0|0.06393348623853211||||
G1700010000201||G1700010000201|G1700010000201|G1700010000201|G1700010000201|Illinois|Adams County|201|0.0|1343.0|1258.0|1306.0|1384.0||0.049143708116157855|0.10731319554848967|0.13016845329249618|0.16473988439306358
G1700010000202||G1700010000202|G1700010000202|G1700010000202|G1700010000202|Illinois|Adams County|202|0.0|1852.0|1846.0|1688.0|1526.0||0.0550755939524838|0.07746478873239436|0.17654028436018956|0.18872870249017037
G1700010000300|G17000100003|G17000100003|G17000100003|||Illinois|Adams County|300|924.0|559.0|600.0|0.0|0.0|0.03463203463203463|0.014311270125223614|0.05333333333333334||
G1700010000400|G17000100004|G17000100004|G17000100004|G1700010000400|G1700010000400|Illinois|Adams County|400|3213.0|2751.0|2669.0|3068.0|2744.0|0.015250544662309368|0.01817520901490367|0.05357811914574747|0.05997392438070404|0.09511661807580175
G1700010000500|G17000100005|G17000100005|G17000100005|G1700010000500|G1700010000500|Illinois|Adams County|500|2024.0|1926.0|1685.0|1550.0|1331.0|0.020256916996047432|0.043094496365524405|0.0629080118694362|0.08258064516129032|0.1450037565740045
G1700010000600|G17000100006|G17000100006|G17000100006|G1700010000600|G1700010000600|Illinois|Adams County|600|2700.0|2906.0|2677.0|2632.0|2389.0|0.23296296296296296|0.32381280110117|0.3481509152035861|0.40387537993920974|0.4378401004604437
G1700010000700|G17000100007|G17000100007|G17000100007|G1700010000700|G1700010000700|Illinois|Adams County|700|2320.0|1216.0|1145.0|1002.0|874.0|0.07758620689655173|0.054276315789473686|0.07336244541484715|0.08682634730538923|0.10755148741418764
G1700010000800|G17000100008|G17000100008|G17000100008|G1700010000800|G1700010000800|Illinois|Adams County|800|2505.0|2101.0|1825.0|1712.0|1616.0|0.04311377245508982|0.03569728700618753|0.024657534246575342|0.0852803738317757|0.07487623762376237
G1700010000900|G17000100009|G17000100009|G17000100009|G1700010000900|G1700010000900|Illinois|Adams County|900|1975.0|1840.0|1888.0|1737.0|1714.0|0.061265822784810124|0.07989130434782608|0.09375|0.16234887737478412|0.1896149358226371
G1700010001000|G17000100010|||||Illinois|Adams County|1000|4366.0|0.0|0.0|0.0|0.0|0.07993586807146129||||
G1700010001001||G1700010001001|G1700010001001|G1700010001001|G1700010001001|Illinois|Adams County|1001|0.0|2403.0|2401.0|2347.0|2423.0||0.09196837286724927|0.12744689712619742|0.1401789518534299|0.1522905489063145
G1700010001002||G1700010001002|G1700010001002|G1700010001002|G1700010001002|Illinois|Adams County|1002|0.0|2153.0|2425.0|2538.0|2254.0||0.11751045053413842|0.168659793814433|0.21631205673758866|0.18899733806566105
G1700010001100|G17000100011|G17000100011|G17000100011|G1700010001100|G1700010001100|Illinois|Adams County|1100|1851.0|3476.0|3911.0|4373.0|5415.0|0.17341977309562398|0.2413693901035673|0.2899514190744055|0.3759432883603933|0.3239150507848569
G1700010010100|G17000100101|G17000100101|G17000100101|G1700010010100|G1700010010100|Illinois|Adams County|10100|2588.0|2901.0|2892.0|3043.0|2838.0|0.03516228748068006|0.06618407445708377|0.08056708160442601|0.11206046664475847|0.18639887244538408
G1700010010200|G17000100102|G17000100102|G17000100102|G1700010010200|G1700010010200|Illinois|Adams County|10200|2568.0|2772.0|2673.0|2741.0|2643.0|0.04906542056074766|0.06204906204906205|0.08791619902731014|0.09266690988690258|0.1093454407869845
G1700010010300|G17000100103|G17000100103|G17000100103|G1700010010300|G1700010010300|Illinois|Adams County|10300|2795.0|3297.0|3619.0|3713.0|4285.0|0.03864042933810376|0.0694570821959357|0.06604034263608732|0.10207379477511447|0.12275379229871645
G1700010010400|G17000100104|G17000100104|G17000100104|G1700010010400|G1700010010400|Illinois|Adams County|10400|1369.0|0.0|2021.0|2336.0|2236.0|0.06574141709276844||0.09302325581395349|0.1759417808219178|0.22450805008944544
G1700010010500|G17000100105|G17000100105|G17000100105|G1700010010500|G1700010010500|Illinois|Adams County|10500|805.0|1348.0|1554.0|2111.0|2357.0|0.0968944099378882|0.12314540059347182|0.2187902187902188|0.22311700615821886|0.37887144675434875
G1700010010600|G17000100106|G17000100106|G17000100106|G1700010010600|G1700010010600|Illinois|Adams County|10600|1714.0|3065.0|3158.0|4028.0|4153.0|0.03617269544924154|0.13246329526916803|0.19601013299556683|0.2135054617676266|0.26101613291596437
G1700030957600|||G17000309576|G1700030957600|G1700030957600|Illinois|Alexander County|957600|0.0|0.0|1865.0|2315.0|2232.0|||0.05630026809651475|0.04838012958963283|0.06810035842293907
G1700030957700|||G17000309577|G1700030957700|G1700030957700|Illinois|Alexander County|957700|0.0|0.0|1605.0|1551.0|1411.0|||0.06791277258566979|0.10509348807221147|0.13961729270021261
G1700030957800|||G17000309578|G1700030957800|G1700030957800|Illinois|Alexander County|957800|0.0|0.0|1748.0|1373.0|1052.0|||0.08752860411899313|0.0786598689002185|0.06178707224334601
G1700030957900|||G17000309579|G1700030957900|G1700030957900|Illinois|Alexander County|957900|0.0|0.0|1506.0|1156.0|778.0|||0.10624169986719788|0.04844290657439446|0.09511568123393316
G1700050951200|||G17000509512|G1700050951200|G1700050951200|Illinois|Bond County|951200|0.0|0.0|2199.0|2010.0|2212.0|||0.110050022737608|0.18407960199004975|0.20162748643761302
G1700050951300|||G17000509513|G1700050951300|G1700050951300|Illinois|Bond County|951300|0.0|0.0|2795.0|4706.0|3734.0|||0.22504472271914133|0.18827029324266895|0.3160149973219068
G1700050951400|||G17000509514|G1700050951400|G1700050951400|Illinois|Bond County|951400|0.0|0.0|2078.0|2153.0|2211.0|||0.09576515880654475|0.12540640966093822|0.12663952962460426
G1700050951500|||G17000509515|G1700050951500|G1700050951500|Illinois|Bond County|951500|0.0|0.0|2597.0|2862.0|3453.0|||0.061224489795918366|0.07966457023060797|0.1280046336518969
G1700070010100|G17000700101|G17000700101|G17000700101|G1700070010100|G1700070010100|Illinois|Boone County|10100|3375.0|3621.0|3782.0|4477.0|4876.0|0.10192592592592592|0.08505937586302126|0.07667900581702802|0.07058297967388877|0.11505332239540607
G1700070010200|G17000700102|G17000700102|G17000700102|G1700070010200|G1700070010200|Illinois|Boone County|10200|2792.0|3023.0|3234.0|3775.0|3556.0|0.09240687679083094|0.0926232219649355|0.10451453308596166|0.07947019867549669|0.12570303712035996
G1700070010300|G17000700103|G17000700103|G17000700103|G1700070010300|G1700070010300|Illinois|Boone County|10300|1893.0|2507.0|2973.0|3627.0|4177.0|0.06391970417326995|0.07538891104906262|0.05852674066599395|0.09539564378274056|0.09552310270529088
G1700070010400|G17000700104|G17000700104|G17000700104|G1700070010400|G1700070010400|Illinois|Boone County|10400|1605.0|2069.0|2283.0|3071.0|4603.0|0.02866043613707165|0.08071532141130981|0.09373631187034603|0.11494627157277759|0.14360199869650228
